Token,Token Name,Type,Volume,Change (%),Sales,Min Price (24H),Max Price (24H),Transfers,Owners,Total Assets
"0x5302A847E53c7b2ff4DaEa7559F82F02446BEE61","","ParallelLore","ERC-1155","20.2815 ETH","196.25","10","0.02 ETH","20 ETH","8,855","899","0"
"0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D","","BoredApeYachtClub","ERC-721","18.745 ETH","5.88","2","9.105 ETH","9.64 ETH","288,991","5,398","10,000"
"0x524cAB2ec69124574082676e6F654a18df49A048","","LilPudgys","ERC-721","9.9795 ETH","-41.03","11","0.815 ETH","1.45 ETH","221,480","8,223","21,669"
"0x0483B0DFc6c78062B9E999A82ffb795925381415","","Orbit","ERC-721","9.14 ETH","29.07","2","3 ETH","5.15 ETH","643","304","501"
"0x059EDD72Cd353dF5106D2B9cC5ab83a52287aC3a","","Art Blocks","ERC-721","4.26 ETH","0.00","1","3.312 ETH","4.26 ETH","40,686","2,976","11,010"
"0xaCF63E56fd08970b43401492a02F6F38B6635C91","","Kanpai Pandas","ERC-721","4.1001 ETH","0.01","4","1.016 ETH","1.19 ETH","61,476","3,156","0"
"0xED5AF388653567Af2F388E6224dC7C4b3241C544","","Azuki","ERC-721","3.63 ETH","-100.00","3","0.0000 ETH","3.63 ETH","220,782","4,190","10,000"
"0xe034bb2b1B9471e11cf1a0a9199a156fb227aa5D","","Sothebys Gen Art","ERC-721","2.8201 ETH","-0.01","2","1.41 ETH","1.4101 ETH","1,755","258","0"
"0xd774557b647330C91Bf44cfEAB205095f7E6c367","","Nakamigos","ERC-721","2.281 ETH","1476.58","3","0.0000 ETH","1.75 ETH","211,863","5,437","20,000"
"0xa7d8d9ef8D8Ce8992Df33D8b8CF4Aebabd5bD270","","Art Blocks","ERC-721","2.1092 ETH","-99.74","4","0.0042 ETH","2.55 ETH","595,732","38,047","198,050"
"0x60E4d786628Fea6478F785A6d7e704777c86a7c6","","MutantApeYachtClub","ERC-721","2.05 ETH","0.00","1","1.65 ETH","2.05 ETH","428,791","11,585","19,497"
"0x8C186802b1992f7650Ac865d4CA94D55fF3C0d17","","Ninja Squad","ERC-721","1.8494 ETH","22.47","17","0.089 ETH","0.127 ETH","40,679","3,557","8,888"
"0xEdd960709617F150844BCEf07b46F4c078a99A07","","E3 Serum","ERC-1155","1.75 ETH","0.00","1","1.75 ETH","1.75 ETH","553","135","0"
"0xc99c679C50033Bbc5321EB88752E89a93e9e83C5","","KILLABEARS","ERC-721","1.75 ETH","183.33","4","0.3 ETH","0.85 ETH","57,161","778","3,333"
"0xE841e6e68BECFC54b621A23a41f8C1a829a4cf44","","The Warlords of Champions Tactics","ERC-721","1.6412 ETH","-28.04","21","0.0625 ETH","0.0869 ETH","32,878","4,027","9,999"
"0x6339e5E072086621540D0362C4e3Cea0d643E114","","Opepen Edition","ERC-721","1.4019 ETH","71.94","4","0.0000 ETH","1 ETH","250,475","3,898","16,000"
"0xD3D9ddd0CF0A5F0BFB8f7fcEAe075DF687eAEBaB","","TEST NFT","ERC-721","1.376 ETH","0.00","1","1.2886 ETH","1.379 ETH","111,623","4,556","10,000"
"0x49cF6f5d44E70224e2E23fDcdd2C053F30aDA28B","","CloneX","ERC-721","1.1 ETH","-40.58","2","0.3695 ETH","0.777 ETH","188,530","9,432","19,600"
"0xfF74698A258c7B29F0C5aFb578e53e560c5012B9","","BLHZ Medel","ERC-721","1.1 ETH","0.00","1","1.1 ETH","1.1 ETH","644","390","456"
"0xDCA91409018ea80B71d21E818f00e76072969861","","","ERC-1155","1.09 ETH","3266.67","3","0.03 ETH","1.01 ETH","3,510","684","0"
"0x76603b2Dc8E75fD3411935169AC30f6b3387B7A2","","CHuBBiT Official Collection","ERC-721","1.011 ETH","0.00","1","1.011 ETH","3.523 ETH","2,900","604","2,000"
"0x6e4c6D9B0930073e958ABd2ABa516b885260b8Ff","","Influence Asteroids","ERC-721","1 ETH","0.00","1","0.045 ETH","1 ETH","27,521","1,848","250,000"
"0x33FD426905F149f8376e227d0C9D3340AaD17aF1","","The Memes by 6529","ERC-1155","0.9587 ETH","271.00","13","0.0149 ETH","0.2652 ETH","261,081","9,972","0"
"0x0BaECcD651cf4692A8790BCC4f606E79bF7A3B1c","","Peplicator","ERC-721","0.8793 ETH","9.95","15","0.0217 ETH","1.2 ETH","79,714","4,407","22,065"
"0xF6Ff0ca4b54a0B82ce064f7d6D40c8766ad488A9","","DoYouMoose","ERC-721","0.8298 ETH","231.13","4","0.0758 ETH","0.252 ETH","1,092","366","777"